what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460797537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460806813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460808455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349460808761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349460809090
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1349460810357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460810691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460811210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349460823616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349460832057
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1349460832324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460832601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460833037
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1349460834555
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1349460834586
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1349460834590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460834602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460834667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460834683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460836278
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1349460836283
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1349460837436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460843987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460844011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460844023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460844847
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1349460844854
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1349460845103
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1349460850636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349460851943
